1745356180.980037689 0.042389393  451077 
1745356180.980038166 0.042240381  451078 
1745356180.980038643 0.042091370  451079 
1745356180.980038881 0.041921139  451080 
1745356180.980039358 0.041773558  451081 
1745356180.980040073 0.041625977  451082 
1745356180.980041027 0.041272402  451083 
1745356180.980041265 0.041108847  451084 
1745356180.980041981 0.040959835  451085 
1745356180.983171225 0.043850899  451086 
1745356180.983172894 0.043555975  451087 
1745356180.983173370 0.043406725  451088 
1745356180.983174086 0.043258190  451089 
1745356180.983174562 0.043094158  451090 
1745356180.983175039 0.042945147  451091 
1745356180.983175755 0.042795420  451092 
1745356180.983176231 0.042620420  451093 
1745356180.983176708 0.042472124  451094 
1745356180.983176947 0.042323112  451095 
1745356180.983177423 0.042173147  451096 
1745356180.983177900 0.042007923  451097 
1745356180.983178377 0.041856527  451098 
1745356180.983178854 0.041691542  451099 
1745356180.983179331 0.041539192  451100 
1745356180.984172583 0.042383432  451101 
1745356180.984173775 0.042220592  451102 
1745356180.984174013 0.042072058  451103 
1745356180.984174728 0.041924715  451104 
1745356180.984175205 0.041760921  451105 
1745356180.984175444 0.041611433  451106 
1745356180.984175920 0.041463852  451107 
1745356180.984176397 0.041297197  451108 
1745356180.984176636 0.041148901  451109 
1745356180.984177351 0.040998697  451110 
1745356180.984442711 0.040946245  451111 
1745356180.985890150 0.042017221  451112 
1745356180.985891581 0.041847229  451113 
1745356180.985893011 0.041696072  451114 
1745356180.985893488 0.041523695  451115 
1745356180.985893965 0.041330814  451116 
1745356180.985894203 0.041181803  451117 
1745356180.985894918 0.041032553  451118 
1745356180.985895634 0.040882826  451119 
1745356180.989666462 0.044503927  451120 
1745356180.992284060 0.046971560  451121 
1745356180.992285252 0.046802282  451122 
1745356180.992285967 0.046652555  451123 
1745356180.992286444 0.046503067  451124 
1745356180.992286921 0.046337366  451125 
1745356180.992287636 0.046188593  451126 
1745356180.992288113 0.046040535  451127 
1745356180.995033503 0.048620462  451128 
1745356180.996165514 0.049601078  451129 
1745356180.997558832 0.050829411  451130 
1745356180.997562647 0.050684452  451131 
1745356180.997564077 0.050499916  451132 
1745356180.997565031 0.050323725  451133 
1745356180.997565985 0.050174952  451134 
1745356180.997566700 0.050006151  451135 
1745356180.997568130 0.049746752  451136 
1745356180.997568607 0.049595833  451137 
1745356180.997569323 0.049447536  451138 
1745356180.997569799 0.049299002  451139 
1745356180.997570276 0.049132586  451140 
1745356180.997570753 0.048983812  451141 
1745356180.997571707 0.048837900  451142 
1745356180.997572422 0.048676252  451143 
1745356180.997572899 0.048527002  451144 
1745356180.997573376 0.048378229  451145 
1745356180.997573853 0.048211575  451146 
1745356180.997574329 0.048062563  451147 
1745356180.997575045 0.047916174  451148 
1745356180.997576475 0.047752857  451149 
1745356180.997577429 0.047605515  451150 
1745356180.997578382 0.047443628  451151 
1745356180.997578859 0.047239542  451152 
1745356180.997579336 0.047085285  451153 
1745356180.997580051 0.046917677  451154 
1745356180.997580528 0.046763182  451155 
1745356180.997581244 0.046330929  451156 
1745356180.997581482 0.046067953  451157 
1745356180.997581959 0.045882940  451158 
1745356180.997582436 0.045733213  451159 
1745356180.997582912 0.045585155  451160 
1745356180.997583389 0.045421600  451161 
1745356180.997584105 0.045272112  451162 
1745356180.997584581 0.045122623  451163 
1745356180.997585058 0.044959307  451164 
1745356180.997585535 0.044805527  451165 
1745356180.997586250 0.044656515  451166 
1745356180.997586966 0.044494390  451167 
1745356180.997587442 0.044346333  451168 
1745356180.997587919 0.044198513  451169 
1745356180.997588634 0.044036865  451170 
1745356180.997589111 0.043887854  451171 
1745356180.997589588 0.043738604  451172 
1745356180.997590065 0.043577433  451173 
1745356180.997590542 0.043429375  451174 
1745356180.997591019 0.043147326  451175 
1745356180.997591496 0.042997599  451176 
1745356180.997591972 0.042845964  451177 
1745356180.997592688 0.042678118  451178 
1745356180.997593164 0.042477846  451179 
1745356180.997593641 0.042241096  451180 
1745356180.997594357 0.041924000  451181 
1745356180.997595072 0.041731834  451182 
1745356180.997595549 0.041429520  451183 
1745356180.997595787 0.041277647  451184 
1745356180.997596264 0.041130781  451185 
1745356180.997597694 0.040983915  451186 
